workerid,proliferate.condition,helper1,helper2,query,requester,response,stimulus,trial_index,trial_num,trial_type,error
35,Default,"{'name': 'Elizabeth', 'gender': 'female'}","{'name': 'Betty', 'gender': 'female'}",0,"{'name': 'Michael', 'gender': 'male'}",0,"<img src=""images/noun_soccer_1751392.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Michael</span> fell over while playing soccer with <span style=""color:#1976D2"">Elizabeth</span> and <span style=""color:#388E3C"">Betty</span>. <br> Both <span style=""color:#1976D2"">Elizabeth</span> and <span style=""color:#388E3C"">Betty</span> stepped on <span style=""color:#E65100"">Michael</span>. <br></p><p><span style=""color:#E65100"">Michael</span> blamed <span style=""color:#1976D2"">Elizabeth</span> more than <span style=""color:#388E3C"">Betty</span> for stepping on him.</p><p>Who stepped on <span style=""color:#E65100"">Michael</span> on purpose?</p>",13,10,intentionality,
35,Default,"{'name': 'John', 'gender': 'male'}","{'name': 'Kenneth', 'gender': 'male'}",0,"{'name': 'Karen', 'gender': 'female'}",0,"<img src=""images/noun_lunch bag_380959.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Karen</span> always packs herself a lunch to bring to work. <br> One day, <span style=""color:#1976D2"">John</span> ate <span style=""color:#E65100"">Karen</span>'s lunch. <br> A different day, <span style=""color:#388E3C"">Kenneth</span> ate <span style=""color:#E65100"">Karen</span>'s lunch. <br></p><p><span style=""color:#E65100"">Karen</span> blamed <span style=""color:#1976D2"">John</span> more than <span style=""color:#388E3C"">Kenneth</span> for eating her lunch.</p><p>Who ate <span style=""color:#E65100"">Karen</span>'s lunch on purpose?</p>",14,11,intentionality,
35,Default,"{'name': 'Kimberly', 'gender': 'female'}","{'name': 'Paul', 'gender': 'male'}",0,"{'name': 'Christopher', 'gender': 'male'}",0,"<img src=""images/noun_Airport_1109705.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Christopher</span> texted <span style=""color:#1976D2"">Kimberly</span> and <span style=""color:#388E3C"">Paul</span> to pick him up from the airport. <br> Neither responded to his text. <br> <span style=""color:#E65100"">Christopher</span> later learned that only one of them saw his message.</p><p><span style=""color:#E65100"">Christopher</span> blamed <span style=""color:#1976D2"">Kimberly</span> more than <span style=""color:#388E3C"">Paul</span> for not helping.</p><p>Who saw the text message?</p>",15,4,knowledge,
35,Default,"{'name': 'Melissa', 'gender': 'female'}","{'name': 'Jennifer', 'gender': 'female'}",0,"{'name': 'Patricia', 'gender': 'female'}",0,"<img src=""images/noun_birthday party_3315880.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Patricia</span> had a birthday party. <br> <span style=""color:#E65100"">Patricia</span> asked <span style=""color:#1976D2"">Melissa</span> and <span style=""color:#388E3C"">Jennifer</span> to come, but neither came. <br></p><p><span style=""color:#E65100"">Patricia</span> blamed <span style=""color:#1976D2"">Melissa</span> more than <span style=""color:#388E3C"">Jennifer</span> for not coming.</p><p>Who is <span style=""color:#E65100"">Patricia</span>'s closer friend?</p>",16,7,social_roles,
35,Default,"{'name': 'Kevin', 'gender': 'male'}","{'name': 'Lisa', 'gender': 'female'}",1,"{'name': 'Thomas', 'gender': 'male'}",1,"<img src=""images/noun_Mover Services_1917486.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Thomas</span> needed help moving. <br> <span style=""color:#E65100"">Thomas</span> asked <span style=""color:#1976D2"">Kevin</span> and <span style=""color:#388E3C"">Lisa</span> for help, but both said no. <br> <span style=""color:#E65100"">Thomas</span> wasn't able to move his stuff on his own. <br></p><p><span style=""color:#E65100"">Thomas</span> blamed <span style=""color:#1976D2"">Kevin</span> more than <span style=""color:#388E3C"">Lisa</span> for not helping.</p><p>Who is <span style=""color:#E65100"">Thomas</span>'s less close friend?</p>",17,8,social_roles,
35,Default,,,,,,,18,,survey-html-form,
23,Default,,,,,0,"<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:20px; max-width:900px;""><p><b>Description:</b> Welcome! You are invited to participate in a research study in cognitive psychology. You will be asked to perform various tasks on a computer which may include: looking at images or videos, listening to sounds, reading scenarios, or playing games. You may be asked a number of different questions about making judgments and intepreting people’s actions. All information collected will remain confidential. <p><p><b>Risks and benefits:</b> Risks involved in this study are the same as those normally associated with using a computer (e.g., mild eye/arm strain). If you have any pre-existing conditions that might make reading and completing a computer-based survey strenuous for you, you should probably elect to not participate in this study. If at any time during the study you feel unable to participate because you are experiencing strain, you may end your participation without penalty. We cannot and do not guarantee or promise that you will receive any benefits from this study. Your decision whether or not to participate in this study will not affect your employment, medical care, and/or grades in school. </p><p><b>Time involvement:</b> Your participation in this experiment will take 15 minutes. </p><p><b> Payment: </b> If recruitment materials indicate payment (e.g., Amazon or other recruitment), you will receive compensation as indicated. </p><p><b>Subject's rights: </b> If you have read this notice and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study. </p><p><b>Contact information: </b> If you have any questions, concerns or complaints about this research study, its procedures, or risks and benefits, you should ask the Protocol Director, (Professor Tobias Gerstenberg, Phone: (650) 725-2431; Email: gerstenberg@stanford.edu). </p><p><b>Independent contact: </b>I f you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team via email at irb2-manager@lists.stanford.edu, or via phone at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306. </p><p>You may want to print a copy of this consent form to keep. By clicking the button below, you acknowledge that you have read the above information, that you are 18 years of age, or older and give your consent to participate in our internet-based study and consent for us to analyze the resulting data. </p> </div><p> Do you agree with the terms of the experiment as explained above? </p>",0,,html-button-response,
23,Default,,,,,0,"<div style=""width:50%; min-width:300px; margin:auto; min-height:300px; display:flex; align-items:flex-end;""><p> In this experiment, you will read a few stories. For each story, you will be asked to figure out a missing piece of information <br> <br> Click the start button whenever you are ready. <br> </div>",1,,html-button-response,
23,Default,"{'name': 'Joshua', 'gender': 'male'}","{'name': 'Mark', 'gender': 'male'}",0,"{'name': 'Karen', 'gender': 'female'}",0,"<img src=""images/noun_reach_2900937.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Karen</span> needed help reaching something on a high shelf. <br> <span style=""color:#E65100"">Karen</span> asked <span style=""color:#1976D2"">Joshua</span> and <span style=""color:#388E3C"">Mark</span> for help, but both said no. <br> <span style=""color:#E65100"">Karen</span> wasn’t able to reach the item.</p><p><span style=""color:#E65100"">Karen</span> blamed <span style=""color:#1976D2"">Joshua</span> more than <span style=""color:#388E3C"">Mark</span> for not helping.</p><p>Who is taller?</p>",2,3,ability,
23,Default,"{'name': 'Sandra', 'gender': 'female'}","{'name': 'Nancy', 'gender': 'female'}",0,"{'name': 'Christopher', 'gender': 'male'}",0,"<img src=""images/noun_Mover Services_1917486.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Christopher</span> needed help carrying a very heavy couch. <br> <span style=""color:#E65100"">Christopher</span> asked <span style=""color:#1976D2"">Sandra</span> and <span style=""color:#388E3C"">Nancy</span> for help, but both said no. <br> <span style=""color:#E65100"">Christopher</span> wasn’t able to move the couch on his own.</p><p><span style=""color:#E65100"">Christopher</span> blamed <span style=""color:#1976D2"">Sandra</span> more than <span style=""color:#388E3C"">Nancy</span> for not helping.</p><p>Who is stronger?</p>",3,2,ability,
23,Default,"{'name': 'Linda', 'gender': 'female'}","{'name': 'Dorothy', 'gender': 'female'}",0,"{'name': 'Susan', 'gender': 'female'}",0,"<img src=""images/noun_Mover Services_1917486.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Susan</span> needed help moving. <br> <span style=""color:#E65100"">Susan</span> asked <span style=""color:#1976D2"">Linda</span> and <span style=""color:#388E3C"">Dorothy</span> for help, but both said no. <br> <span style=""color:#E65100"">Susan</span> wasn't able to move her stuff on her own. <br></p><p><span style=""color:#E65100"">Susan</span> blamed <span style=""color:#1976D2"">Linda</span> more than <span style=""color:#388E3C"">Dorothy</span> for not helping.</p><p>Who is <span style=""color:#E65100"">Susan</span>'s closer friend?</p>",4,8,social_roles,
23,Default,"{'name': 'Andrew', 'gender': 'male'}","{'name': 'Joseph', 'gender': 'male'}",0,"{'name': 'Emily', 'gender': 'female'}",0,"<img src=""images/noun_cooking_1176750.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Emily</span> needed help making dinner. <br> Neither <span style=""color:#1976D2"">Andrew</span> nor <span style=""color:#388E3C"">Joseph</span> helped. <br></p><p><span style=""color:#E65100"">Emily</span> blamed <span style=""color:#1976D2"">Andrew</span> more than <span style=""color:#388E3C"">Joseph</span> for not helping.</p><p>Who knew that <span style=""color:#E65100"">Emily</span> needed help making dinner?</p>",5,6,knowledge,
23,Default,"{'name': 'Kimberly', 'gender': 'female'}","{'name': 'George', 'gender': 'male'}",0,"{'name': 'Kevin', 'gender': 'male'}",1,"<img src=""images/noun_wait phone_769182.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Kevin</span> needed someone to make an appointment for him. <br> <span style=""color:#E65100"">Kevin</span> asked <span style=""color:#1976D2"">Kimberly</span> and <span style=""color:#388E3C"">George</span> to call and wait on hold for him. <br> <span style=""color:#1976D2"">Kimberly</span> and <span style=""color:#388E3C"">George</span> both gave up before their call was picked up. <br> <span style=""color:#E65100"">Kevin</span> later learned that one of them waited for a few minutes, and another waited for hours. <br></p><p><span style=""color:#E65100"">Kevin</span> blamed <span style=""color:#1976D2"">Kimberly</span> more than <span style=""color:#388E3C"">George</span> for hanging up.</p><p>Who waited for hours before giving up?</p>",6,15,effort,
23,Default,"{'name': 'Edward', 'gender': 'male'}","{'name': 'John', 'gender': 'male'}",1,"{'name': 'Donna', 'gender': 'female'}",1,"<img src=""images/noun_acting_2368308.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Donna</span> needed help practicing for the school play. <br> <span style=""color:#E65100"">Donna</span> asked <span style=""color:#1976D2"">Edward</span> and <span style=""color:#388E3C"">John</span> for help, but both said no. <br></p><p><span style=""color:#E65100"">Donna</span> blamed <span style=""color:#1976D2"">Edward</span> more than <span style=""color:#388E3C"">John</span> for not helping.</p><p>Who is <span style=""color:#E65100"">Donna</span>'s less close friend?</p>",7,9,social_roles,
23,Default,"{'name': 'Michael', 'gender': 'male'}","{'name': 'Anthony', 'gender': 'male'}",0,"{'name': 'Melissa', 'gender': 'female'}",0,"<img src=""images/noun_birthday party_3315880.png"" style=""max-width:200px""></img><p><span style=""color:#1976D2"">Michael</span> and <span style=""color:#388E3C"">Anthony</span> each had a birthday party in separate weeks. <br> Neither invited <span style=""color:#E65100"">Melissa</span> to the party. <br> <span style=""color:#E65100"">Melissa</span> later learned from a friend that one of them intentionally didn't invite her, and another forgot to invite her. <br></p><p><span style=""color:#E65100"">Melissa</span> blamed <span style=""color:#1976D2"">Michael</span> more than <span style=""color:#388E3C"">Anthony</span> for not inviting her to his birthday party.</p><p>Who intentionally didn't invite <span style=""color:#E65100"">Melissa</span>?</p>",8,12,intentionality,
23,Default,"{'name': 'Barbara', 'gender': 'female'}","{'name': 'Amanda', 'gender': 'female'}",0,"{'name': 'Matthew', 'gender': 'male'}",0,"<img src=""images/noun_Man Cutting Grass_637630.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Matthew</span> needed someone to mow the lawn. <br> <span style=""color:#1976D2"">Barbara</span> mowed the lawn. <br> <span style=""color:#388E3C"">Amanda</span> did not mow the lawn. <br></p><p><span style=""color:#E65100"">Matthew</span> blamed <span style=""color:#388E3C"">Amanda</span> for not mowing the lawn.</p><p>Who mowed the lawn?</p>",9,attention_check,,
23,Default,"{'name': 'Steven', 'gender': 'male'}","{'name': 'Thomas', 'gender': 'male'}",0,"{'name': 'Kenneth', 'gender': 'male'}",0,"<img src=""images/noun_birthday party_3315880.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Kenneth</span> had a birthday party. <br> <span style=""color:#E65100"">Kenneth</span> asked <span style=""color:#1976D2"">Steven</span> and <span style=""color:#388E3C"">Thomas</span> to come, but neither came. <br></p><p><span style=""color:#E65100"">Kenneth</span> blamed <span style=""color:#1976D2"">Steven</span> more than <span style=""color:#388E3C"">Thomas</span> for not coming.</p><p>Who is <span style=""color:#E65100"">Kenneth</span>'s closer friend?</p>",10,7,social_roles,
23,Default,"{'name': 'Mary', 'gender': 'female'}","{'name': 'Carol', 'gender': 'female'}",0,"{'name': 'William', 'gender': 'male'}",0,"<img src=""images/noun_lunch bag_380959.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">William</span> always packs himself a lunch to bring to work. <br> One day, <span style=""color:#1976D2"">Mary</span> ate <span style=""color:#E65100"">William</span>'s lunch. <br> A different day, <span style=""color:#388E3C"">Carol</span> ate <span style=""color:#E65100"">William</span>'s lunch. <br></p><p><span style=""color:#E65100"">William</span> blamed <span style=""color:#1976D2"">Mary</span> more than <span style=""color:#388E3C"">Carol</span> for eating his lunch.</p><p>Who ate <span style=""color:#E65100"">William</span>'s lunch on purpose?</p>",11,11,intentionality,
23,Default,"{'name': 'Jessica', 'gender': 'female'}","{'name': 'David', 'gender': 'male'}",1,"{'name': 'Richard', 'gender': 'male'}",0,"<img src=""images/noun_We Can Do It_146922.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Richard</span> was on a tug of war team with <span style=""color:#1976D2"">Jessica</span> and <span style=""color:#388E3C"">David</span>. <br> Their team lost the game of tug of war. <br> </p><p><span style=""color:#E65100"">Richard</span> blamed <span style=""color:#1976D2"">Jessica</span> more than <span style=""color:#388E3C"">David</span> for their loss.</p><p>Who didn't try very hard?</p>",12,13,effort,
23,Default,"{'name': 'James', 'gender': 'male'}","{'name': 'Patricia', 'gender': 'female'}",1,"{'name': 'Paul', 'gender': 'male'}",1,"<img src=""images/noun_Picnic_2799323.png"" style=""max-width:200px""></img><p><span style=""color:#1976D2"">James</span>, <span style=""color:#388E3C"">Patricia</span>, and <span style=""color:#E65100"">Paul</span> were having a picnic. <br> Both <span style=""color:#1976D2"">James</span> and <span style=""color:#388E3C"">Patricia</span> brought snacks with peanuts in them, even though <span style=""color:#E65100"">Paul</span> was allergic to peanuts. <br></p><p><span style=""color:#E65100"">Paul</span> blamed <span style=""color:#1976D2"">James</span> more than <span style=""color:#388E3C"">Patricia</span> for bringing snacks with peanuts to the picnic.</p><p>Who didn't know that <span style=""color:#E65100"">Paul</span> was allergic to peanuts?</p>",13,5,knowledge,
23,Default,"{'name': 'Sarah', 'gender': 'female'}","{'name': 'Donald', 'gender': 'male'}",0,"{'name': 'Betty', 'gender': 'female'}",0,"<img src=""images/noun_flat tire_982179.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Betty</span> needed help fixing her flat tire. <br> <span style=""color:#E65100"">Betty</span> asked <span style=""color:#1976D2"">Sarah</span> and <span style=""color:#388E3C"">Donald</span> for help, but neither did. <br> <span style=""color:#E65100"">Betty</span> didn't manage to fix the tire by herself.</p><p><span style=""color:#E65100"">Betty</span> blamed <span style=""color:#1976D2"">Sarah</span> more than <span style=""color:#388E3C"">Donald</span> for not helping.</p><p>Who is better at fixing tires?</p>",14,1,ability,
23,Default,"{'name': 'Margaret', 'gender': 'female'}","{'name': 'Charles', 'gender': 'male'}",0,"{'name': 'Lisa', 'gender': 'female'}",0,"<img src=""images/noun_soccer_1751392.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Lisa</span> fell over while playing soccer with <span style=""color:#1976D2"">Margaret</span> and <span style=""color:#388E3C"">Charles</span>. <br> Both <span style=""color:#1976D2"">Margaret</span> and <span style=""color:#388E3C"">Charles</span> stepped on <span style=""color:#E65100"">Lisa</span>. <br></p><p><span style=""color:#E65100"">Lisa</span> blamed <span style=""color:#1976D2"">Margaret</span> more than <span style=""color:#388E3C"">Charles</span> for stepping on her.</p><p>Who stepped on <span style=""color:#E65100"">Lisa</span> on purpose?</p>",15,10,intentionality,
23,Default,"{'name': 'Robert', 'gender': 'male'}","{'name': 'Deborah', 'gender': 'female'}",1,"{'name': 'Jennifer', 'gender': 'female'}",1,"<img src=""images/noun_Airport_1109705.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Jennifer</span> texted <span style=""color:#1976D2"">Robert</span> and <span style=""color:#388E3C"">Deborah</span> to pick her up from the airport. <br> Neither responded to her text. <br> <span style=""color:#E65100"">Jennifer</span> later learned that only one of them saw her message.</p><p><span style=""color:#E65100"">Jennifer</span> blamed <span style=""color:#1976D2"">Robert</span> more than <span style=""color:#388E3C"">Deborah</span> for not helping.</p><p>Who didn't see the text message?</p>",16,4,knowledge,
23,Default,"{'name': 'Brian', 'gender': 'male'}","{'name': 'Ashley', 'gender': 'female'}",0,"{'name': 'Daniel', 'gender': 'male'}",1,"<img src=""images/noun_presentation_1616165.png"" style=""max-width:200px""></img><p><span style=""color:#E65100"">Daniel</span> was assigned to do a group project with <span style=""color:#1976D2"">Brian</span> and <span style=""color:#388E3C"">Ashley</span>. <br> Their group did a bad job and received a failing grade for the assignment. <br> </p><p><span style=""color:#E65100"">Daniel</span> blamed <span style=""color:#1976D2"">Brian</span> more than <span style=""color:#388E3C"">Ashley</span> for the group's failing grade.</p><p>Who tried very hard on the assignment?</p>",17,14,effort,
23,Default,,,,,,,18,,survey-html-form,
