workerid,proliferate.condition,age,ethnicity,feedback,language,race,time,error
140,Default,27,Hispanic,it shows that a person can do something that is out of their way to impress another person,English ,African,1067563,
139,Default,26,Non-Hispanic,"The factors that influenced how I responded were the number of blocks measured per distance and the color of the blocks that also determined the distance.
No, I have no questions or comments.",English,Black,1363632,
136,Default,20,Non-Hispanic,"How much red they'd have to go through, whether it was on their way anyway and how far out of their way they went.",English,White,775040,
117,Default,20,Non-Hispanic,how mutch the person had to deviate from his shortest way to work.,dutch,belgian,990427,
119,Default,18,Non-Hispanic,How far out of their way the people had to go and if the coffee shop was on their way or not. No comments ,English ,Black African ,769274,
158,Default,45,Non-Hispanic,Red blocks,English,White ,777664,
163,Default,32,Non-Hispanic,"In case the clean path to take was evident but there was low praise, I've been confused since it was the only path the worker could have taken for avoiding the traffic anyway.
It would have helped to know whether the praise was rational or not, meaning that it is objective and only regarding the choice on the path (e.g. could John give low praise even if the path was the fastest, but it will take more time than going directly from home to office without taking the coffee? How bringing coffee is evaluated against being late? Is it better to bring coffee or to be in time?)",Italian,White,737727,
166,Default,38,Non-Hispanic,"Length of route, and how out of the way the coffee shop was.",English,Asian,1196911,
147,Default,45,Non-Hispanic,,polish,,477332,
169,Default,26,Non-Hispanic,"The main influencing factor was the ratio between the minimum path from home to the office and the actual taken path. 

In case of both paths took the same time, the number of red squares was compared with the number of blue squares of both paths. The higher amount of red squares, the higher the acknowledgement of the co-worker, since in my opinion it is easier to drive without traffic.  ",Portuguese,Caucasian,1247298,
118,Default,20,Hispanic,The main factors that influenced my decisions were the time that the travellings would take and how much efford people would have to put on this travellings. I don't have any comments or questions regarding the experiment.,Portuguese,White,953310,
154,Default,22,Hispanic,I think they deserved more praise if the coffe shop was far from work and how much traffic there would be,Spanish,,1126598,
165,Default,27,Non-Hispanic,,English,White,1883869,
155,Default,39,Non-Hispanic,just which was the quckest and if they passed work anyway.,English,White,1105222,
159,Default,59,Non-Hispanic,"I felt the urge to calculate all the possible steps, but didn't, because it would have taken me far more time then.",Dutch,Dutch,1116907,
125,Default,21,Hispanic,I counted the squares. Also took in consideration if the coffee was on the path to work or if the person had to go out of their to get it.,Portuguese,White,916359,
137,Default,26,,,English ,Caribbean ,4147566,
142,Default,37,Non-Hispanic,"The more red squares, the higher the degree of difficulty.",polish,white,947559,
124,Default,19,Non-Hispanic,"Traffic (red blocks). The more the traffic, the higher the praise.",Greek,White,561926,
170,Default,18,Non-Hispanic,Mostly the time difference between the given paths and the change in path required to pick the coffee up instead of just going to the office.,Portuguese,white,1022976,
144,Default,20,Non-Hispanic,The initiative and the thoughtfulness of another employee getting their coworker coffee,Zulu,Black,1254706,
122,Default,38,Non-Hispanic,The time it took to get the coffee. And how necessary nit actually was,English,Mixed,677838,
